id,value
www.amc.kps.ku.ac.th,1
www.sd.grad.ku.ac.th,1
indpsy.soc.ku.ac.th,1
lms.sci.src.ku.ac.th,1
www.quota.forest.ku.ac.th,1
www.sru.agro.ku.ac.th,1
www.las.vet.kps.ku.ac.th,1
www.edupsy.edu.ku.ac.th,1
journal.eco.ku.ac.th,2
digital.forest.ku.ac.th,2
osc.src.ku.ac.th,1
ieinter.eng.ku.ac.th,4
oos.flas.kps.ku.ac.th,1
jasmine.kps.ku.ac.th,9
faqs.grad.ku.ac.th,1
www.eng.src.ku.ac.th,2
158.108.207.2,1
buddhism.rilc.ku.ac.th,1
www.faqs.grad.ku.ac.th,1
www.newgrad.sa.ku.ac.th,5
research.eng.src.ku.ac.th,1
lib.vit.src.ku.ac.th,1
voc.edu.ku.ac.th,1
nontrinews.ku.ac.th,1
cpeg2.cpe.ku.ac.th,6
sugarcanecenter.rdi.kps.ku.ac.th,1
158.108.219.35,2
www.stbe.eng.ku.ac.th,1
arc.csc.ku.ac.th,1
www.biochem.flas.kps.ku.ac.th,1
nec.psd.ku.ac.th,1
t-fern.forest.ku.ac.th,1
iset2015.kasetsart.org,1
158.108.217.16,1
inf.ocs.ku.ac.th,1
www.des.csc.ku.ac.th,1
158.108.80.10,1
www.webmail.ku.ac.th,1
www.ichcrd2016.kasetsart.org,1
jatropha.center.ku.ac.th,1
apsap.kasetsart.org,1
www.acas.bus.ku.ac.th,1
www.ie.eng.ku.ac.th,1
zoo.sci.ku.ac.th,1
www.crvlab.eng.ku.ac.th,1
eduinfo.ku.ac.th,1
nisit.ku.ac.th,1
kasetsart.org,1
flas.ku.ac.th,11
mfpe.eng.ku.ac.th,3
www.calendar.ku.ac.th,1
std.flas.kps.ku.ac.th,1
www.kuf.ku.ac.th,1
158.108.89.200,1
ie.eng.kps.ku.ac.th,1
www.ento.agr.ku.ac.th,1
www.sinin.kps.ku.ac.th,2
158.108.219.94,2
advanse.bus.ku.ac.th,1
radio.ku.ac.th,1
158.108.219.20,1
www.philos-reli.human.ku.ac.th,1
www.reg1.src.ku.ac.th,1
cpc.webhost.ku.ac.th,1
agscij.agr.ku.ac.th,3
vetnp.vet.ku.ac.th,34
158.108.96.39,1
psdb.ku.ac.th,1
www.botany.sci.ku.ac.th,2
www.acct.bus.ku.ac.th,4
law.soc.ku.ac.th,1
www.caer.eco.ku.ac.th,1
www.tpqi.human.ku.ac.th,1
tech4farmerschallenge.ku.ac.th,3
geneng.grad.ku.ac.th,2
